,appid,name,developer,publisher,price,year,duenos_promedio,rating_neto,rating_perc,Action,Free to Play,Strategy,Adventure,Indie,RPG,Casual,Simulation,Racing,Violent,Massively Multiplayer,Nudity,Sports,Early Access,Gore,Sexual Content,Target
11739,551690,Counter Fight,"Tricol Co., Ltd.","Tricol Co., Ltd.",6065,2016,10000.0,87,0.848,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
11740,551700,Gunheart,Drifter Entertainment,Drifter Entertainment,16807,2018,10000.0,153,0.8072289156626509,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11741,551730,Toukiden 2,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",54239,2017,35000.0,594,0.795228628230616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
11742,551750,Survival VR,Newsight Games,Newsight Games,2159,2016,10000.0,8,0.7857142857142858,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
11743,551770,ECHO,ULTRA ULTRA,ULTRA ULTRA,20604,2017,75000.0,501,0.814303638644918,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11744,551840,Crystal Shard Adventure Bundle,Crystal Shard,Crystal Shard,5197,2016,10000.0,3,0.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11745,551860,Abandon Ship,Fireblade Software,Fireblade Software,16264,2018,35000.0,161,0.712401055408971,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
11746,551930,Pro Skater 2D,Mihai Morosanu,Mihai Morosanu,857,2016,35000.0,3,0.530612244897959,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
11747,551960,DatavizVR Demo,DatavizVR Inc.,DatavizVR Inc.,0,2016,10000.0,8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11748,552000,Blowhards,Babloon Studios,Babloon Studios,7584,2017,10000.0,4,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11749,552030,Artillerists,SolarLance,SolarLance,3136,2017,35000.0,69,0.7674418604651159,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11750,552060,EscapeVR: The Basement,Five Mind Creations;Sourcenity,Five Mind Creations,6716,2016,10000.0,41,0.901960784313726,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11751,552080,IronWolf VR,Ionized Studios,Ionized Studios,18434,2017,10000.0,433,0.980044345898004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
11752,552100,Brick Rigs,Lukas Rustemeyer,Lukas Rustemeyer,11924,2016,150000.0,2571,0.8345042935206871,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11753,552110,Puzzle Pirates: Dark Seas,"Grey Havens, LLC","Grey Havens, LLC",0,2018,75000.0,218,0.7645631067961159,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
11754,552120,Orbit - Playing with Gravity,HIGHKEY Games,HIGHKEY Games,4329,2016,10000.0,6,0.8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
11755,552130,Whiplash - Crash Valley,Diagrammet AB,Diagrammet AB,4329,2016,10000.0,-35,0.38095238095238104,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
11756,552140,CAGE,KorteGames,KorteGames,0,2016,35000.0,59,0.864197530864197,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11757,552150,Willie's Haunted Hayride,"John Palmer, Jacob Vestergaard","John Palmer, Jacob Vestergaard",857,2016,10000.0,-1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11758,552160,Hade,KirUn,KirUn,3461,2016,10000.0,88,0.9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11759,552200,peakvox Mew Mew Chamber for Steam,peakvox;O-TWO inc.,peakvox,2159,2016,10000.0,19,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11760,552210,peakvox Route Candle for Steam,peakvox;O-TWO inc.,peakvox,2159,2016,10000.0,1,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11761,552220,Invaders!,Jake Cantrell,Cantrell Solutions,4329,2016,10000.0,1,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
