"","appid","name","developer","publisher","price","year","duenos_promedio","rating_neto","rating_perc","Action","Free to Play","Strategy","Adventure","Indie","RPG","Casual","Simulation","Racing","Violent","Massively Multiplayer","Nudity","Sports","Early Access","Gore","Sexual Content"
"23190",890070,"<U+79CB><U+8272><U+7684><U+8A18><U+61B6>(<U+9AD4><U+9A57><U+7248>) / Fall...in Love (Demo)","<U+85CD><U+8336><U+9AD8><U+6821> Blue Tea College","<U+85CD><U+8336><U+9AD8><U+6821> Blue Tea College",0,2018,10000,75,0.962962962962963,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"23191",890110,"Deicide","Golden Epoch Media","Golden Epoch Media",0,2019,10000,11,0.689655172413793,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"23192",890130,"Pawn of the Dead","Aslan Game Studio","Aslan Game Studio",3136,2018,10000,3,0.8,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"23193",890180,"Ecchi Cards","Hentai.US","Hentai.US",4329,2018,10000,-3,0.476190476190476,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23194",890210,"Kids Learn","Yash Future Tech Solutions Pvt Ltd","Yash Future Tech Solutions Pvt Ltd",6282,2018,10000,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23195",890220,"Math Fun","Yash Future Tech Solutions Pvt Ltd","Yash Future Tech Solutions Pvt Ltd",4329,2018,10000,42,0.903846153846154,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"23196",890280,"Myha: Return to the Lost Island","Denis Martin;Simon Says: Play!","Simon Says: Play!",15179,2019,10000,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23197",890300,"Kitrinos: Inside the Cube","Simon Says: Play!;Yazorius","Simon Says: Play!",0,2018,10000,19,0.88,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23198",890310,"Shadow Brawlers","Team Guazú","Inca Games",12358,2019,10000,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"23199",890340,"Lovefield General: Back to Work","Pixel Purrfection","Pixel Purrfection",5197,2018,10000,5,0.857142857142857,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"23200",890400,"Uncharted Waters Online","KOEI TECMO GAMES CO., LTD.","Papaya Play ",0,2018,35000,27,0.617391304347826,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"23201",890470,"Slave Master: The Game","The Black Jester","The Black Jester and Realm of the Mental Midget Slayer",7801,2018,10000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23202",890500,"Love ritual","Xand arts","Xand arts",10080,2019,10000,11,0.657142857142857,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"23203",890570,"Almost Alive","Emir Cerimovic","Emir Games",10080,2018,10000,112,0.883561643835616,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"23204",890590,"Knight King Assassin","Niko Kivilahti","Niko Kivilahti",857,2018,10000,7,0.818181818181818,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23205",890630,"Perspectrum","ProudMom Games","Vandalia Softworks",6282,2018,10000,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23206",890640,"Rampage of the Dead","Boltok Games","Boltok Games",1834,2018,10000,3,0.666666666666667,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23207",890680,"Mars Troopers - <U+751F><U+5316><U+5947><U+5175>2019","Beyond Games","Beyond Games",5197,2018,10000,-1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"23208",890710,"Ecchi Puzzle","Hentai.US","Hentai.US",857,2018,10000,13,0.638297872340426,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23209",890740,"A Gentlemanly Adventure","Not Chicken Games","Not Chicken Games",6282,2018,10000,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"23210",890750,"Lily's Night Off","Kyuppin","Kyuppin",3136,2018,10000,48,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"23211",890780,"Primitive Survival","Primitive Studio","Primitive Studio",857,2018,10000,-2,0.428571428571429,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"23212",890800,"Country Park","FG","FG",857,2018,35000,-23,0.290909090909091,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"23213",890820,"Valor Time","ObjectOnIT","ObjectOnIT",0,2018,35000,-15,0.421052631578947,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"23214",890880,"FROSTBITE: Deadly Climate","Alex Olinkiewicz","Alex Olinkiewicz",0,2018,75000,189,0.867704280155642,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"23215",890900,"Whacker Guy: Distance Hunter","Micro Revolution LLC","Micro Revolution LLC",4329,2018,10000,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"23216",890910,"Kill The Monster","Bon","Bon",857,2018,10000,0,0.5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"23217",890920,"Glitch","Ekrcoaster","Ekrcoaster",0,2018,75000,2,0.503311258278146,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"23218",890930,"Whiskered Away","2cute","The Crimson Nights Team",0,2018,10000,1,0.555555555555556,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23219",890940,"Romancing Monarchy","Rouhana","Rouhana",2268,2018,10000,5,0.777777777777778,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23220",890970,"Oakwood","Breaking Dimensions;Polygon Dust Entertainment Ltd.","Breaking Dimensions",4329,2018,10000,47,0.79746835443038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23221",891050,"Deplau","Zirasoft","Zirasoft",4329,2018,10000,1,0.666666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"23222",891090,"JUST a Game","KIZILARSLAN;GOKSU","Levity Game",857,2018,10000,2,0.666666666666667,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
"23223",891100,"Ray of Light","SAFING","SAFING",2268,2018,10000,11,0.703703703703704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23224",891110,"Hell Knights","David Seifers","David Seifers",3244,2018,10000,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"23225",891120,"Watching Delusion","GooDGooN","PsychoFlux Entertainment",857,2018,10000,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23226",891130,"SUPER FLAIL","CryptMade","PsychoFlux Entertainment",0,2018,10000,82,0.936170212765957,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23227",891150,"Usual John","Indie Light","Dagestan Technology",1834,2018,10000,1,0.6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23228",891180,"PINPIN BALLBALL","KADOKAWA CORPORATION","AGM PLAYISM",0,2018,10000,4,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23229",891190,"CROSS X CARROT","KADOKAWA CORPORATION","AGM PLAYISM",0,2018,10000,3,0.636363636363636,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23230",891200,"Bike Dash Excite!","KADOKAWA CORPORATION","AGM PLAYISM",0,2018,10000,4,0.583333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"23231",891220,"pla_toon","SoundAndFuryGames","SoundAndFuryGames",0,2018,75000,383,0.84629294755877,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"23232",891270,"Draft Day Sports: Pro Golf","Wolverine Studios","Wolverine Studios",7801,2018,10000,-2,0.25,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"23233",891310,"Medical verdict","Volokitin Andrey","Volokitin Andrey",6174,2018,10000,9,0.68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"23234",891320,"Echoes in White","Classic Arts GmbH","Magic Horizons GmbH",6282,2018,10000,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"23235",891330,"Fast Dust","Binary Giants","Binary Giants",16807,2018,10000,-2,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"23236",891340,"Roidrekt","Deathbed Ltd","Deathbed Ltd",3136,2019,10000,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23237",891350,"JUST DASH","VergeXGamer","VergeXGamer",2268,2018,10000,2,0.545454545454545,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"23238",891380,"Retro Snake Adventures","JoHo","McPoyLE Games",857,2018,10000,2,0.75,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"23239",891470,"Falling Blocks","Softwaves Mini","Softwaves Dist.",857,2018,10000,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"23240",891510,"Love's Sweet Garnish","Canvas+Garden","Sekai Project",11165,2018,10000,281,0.982817869415808,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23241",891570,"Cat couple<U+0001F431>","Sly","SlyGames",846,2018,10000,3,0.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23242",891580,"Dog couple<U+0001F436>","Sly","SlyGames",846,2018,10000,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23243",891590,"Meme couple","Sly","SlyGames",846,2018,10000,5,0.631578947368421,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23244",891600,"Animal couple<U+0001F418>","Sly","SlyGames",846,2018,10000,3,0.714285714285714,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23245",891610,"Butterfly<U+0001F98B> couple","Sly","SlyGames",846,2018,10000,2,0.75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23246",891620,"Berry couple","Sly","SlyGames",846,2018,10000,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23247",891640,"Fruit couple","Sly","SlyGames",846,2018,10000,2,0.625,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23248",891650,"Vegetable couple","Sly","SlyGames",846,2018,10000,1,0.545454545454545,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
